normalized_form	collision_description
adnprelatedmultiplecongenitalanomaliesintellectualdisabilityautismspectrumdisorder	MONDO_0014379[hasExactSynonym=ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder] | MONDO_0014379[label=ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder] | Orphanet_404448[label=ADNP-related multiple congenital anomalies-intellectual disability-autism spectrum disorder]
adpgkhuman	PR_Q9BRR6[hasExactSynonym=ADP-GK (human)] | gene_symbol_report?hgnc_id=25250[label=ADPGK (human)]
adpplateletreceptorp2y12defect	MONDO_0012354[hasExactSynonym=ADP platelet receptor P2Y12 defect] | Orphanet_36355[hasExactSynonym=ADP platelet receptor P2Y12 defect]
adrenalcancer	MONDO_0002817[hasExactSynonym=adrenal cancer] | EFO_0003850[hasExactSynonym=Adrenal Cancer]
adrenalcortexcancer	MONDO_0021312[hasExactSynonym=adrenal cortex cancer] | EFO_1000796[hasExactSynonym=adrenal cortex cancer]
adrenalglandcancer	MONDO_0002817[hasExactSynonym=adrenal gland cancer] | MONDO_0002817[label=adrenal gland cancer] | EFO_0003850[hasExactSynonym=Adrenal Gland Cancer]
adrenalinsufficiency	HP_0000846[label=Adrenal insufficiency] | EFO_0009491[hasExactSynonym=adrenal insufficiency]
adsd	MONDO_0000211[hasExactSynonym=ADSD] | Orphanet_228169[hasExactSynonym=ADSD]
adss1human	PR_Q8N142[hasExactSynonym=AdSS 1 (human)] | gene_symbol_report?hgnc_id=20093[label=ADSS1 (human)]
adss2human	PR_P30520[hasExactSynonym=AdSS 2 (human)] | gene_symbol_report?hgnc_id=292[label=ADSS2 (human)]
adultonsetautosomaldominantleukodystrophy	MONDO_0008215[hasExactSynonym=adult-onset autosomal dominant leukodystrophy] | Orphanet_99027[label=Adult-onset autosomal dominant leukodystrophy]
adultonsetautosomalrecessivesideroblasticanemia	MONDO_0014804[hasExactSynonym=adult-onset autosomal recessive sideroblastic anemia] | Orphanet_255132[label=Adult-onset autosomal recessive sideroblastic anemia]
adultonsetleukoencephalopathywithaxonalspheroidsandpigmentedglia	MONDO_0800027[hasExactSynonym=Adult-Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia] | MONDO_0800027[hasExactSynonym=adult-onset leukoencephalopathy with axonal spheroids and pigmented glia] | Orphanet_313808[hasExactSynonym=Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia]
adultonsetpls	MONDO_0018155[hasExactSynonym=adult-onset PLS] | Orphanet_35689[hasExactSynonym=Adult-onset PLS]
adultonsetprimarylateralsclerosis	MONDO_0018155[hasExactSynonym=adult-onset primary lateral sclerosis] | Orphanet_35689[hasExactSynonym=Adult-onset primary lateral sclerosis]
adygei	HANCESTRO_0757[hasExactSynonym=Adygei] | HANCESTRO_0808[hasExactSynonym=Adygei]
aecsyndrome	MONDO_0007124[hasExactSynonym=AEC Syndrome] | MONDO_0007124[hasExactSynonym=AEC syndrome] | Orphanet_1071[hasExactSynonym=AEC syndrome]
af	PR_000002181[hasExactSynonym=AF] | EFO_0000275[hasExactSynonym=AF]
africancaribbean	HANCESTRO_0567[hasExactSynonym=African Caribbean] | HANCESTRO_0660[hasExactSynonym=African Caribbean]
africanmalariamosquito	NCBITaxon_62324[hasExactSynonym=African malaria mosquito] | NCBITaxon_7165[hasExactSynonym=African malaria mosquito]
ag3	PR_000001093[hasExactSynonym=Ag3] | PR_000003844[hasExactSynonym=AG-3] | PR_000003844[hasExactSynonym=AG3]
ag3human	PR_P19256[hasExactSynonym=Ag3 (human)] | PR_Q8TD06[hasExactSynonym=AG-3 (human)] | PR_Q8TD06[hasExactSynonym=AG3 (human)]
aganglionicmegacolon	HP_0002251[label=Aganglionic megacolon] | MONDO_0018309[hasExactSynonym=aganglionic megacolon]
agap2human	PR_Q99490[hasExactSynonym=AGAP-2 (human)] | gene_symbol_report?hgnc_id=16921[label=AGAP2 (human)]
agap3human	PR_Q96P47[hasExactSynonym=AGAP-3 (human)] | gene_symbol_report?hgnc_id=16923[label=AGAP3 (human)]
age	PR_000013884[hasExactSynonym=AGE] | EFO_0000246[label=age]
aggression	HP_0000718[hasExactSynonym=Aggression] | EFO_0003015[hasExactSynonym=aggression]
aggressivebehavior	HP_0000718[hasExactSynonym=Aggressive behavior] | HP_0000718[label=Aggressive behavior] | EFO_0003015[label=aggressive behavior]
agnosia	HP_0010524[hasExactSynonym=Agnosia] | EFO_0007136[hasExactSynonym=Agnosia] | EFO_0007136[hasExactSynonym=agnosia] | EFO_0007136[label=agnosia]
agthuman	PR_P21549[hasExactSynonym=AGT (human)] | gene_symbol_report?hgnc_id=333[label=AGT (human)]
aicardigoutieressyndrome	MONDO_0018866[hasExactSynonym=Aicardi Goutieres syndrome] | MONDO_0018866[hasExactSynonym=Aicardi-Goutières Syndrome] | MONDO_0018866[label=Aicardi-Goutieres syndrome] | Orphanet_51[label=Aicardi-Goutières syndrome]
aied	MONDO_0010371[hasExactSynonym=AIED] | Orphanet_178333[hasExactSynonym=AIED]
aif1human	PR_P55008[hasExactSynonym=AIF-1 (human)] | gene_symbol_report?hgnc_id=352[label=AIF1 (human)]
aip	MONDO_0015175[hasExactSynonym=AIP] | PR_000003875[hasExactSynonym=AIP]
aip1	PR_000004291[hasExactSynonym=Aip-1] | PR_000010084[hasExactSynonym=AIP-1] | PR_000017387[hasExactSynonym=AIP1]
aip1human	PR_O75083[hasExactSynonym=AIP1 (human)] | PR_Q15041[hasExactSynonym=Aip-1 (human)]
aip5	PR_000003174[hasExactSynonym=AIP5] | PR_000004293[hasExactSynonym=Aip-5]
aip5human	PR_O75915[hasExactSynonym=Aip-5 (human)] | PR_Q9H0M0[hasExactSynonym=AIP5 (human)]
ak1human	PR_P00568[hasExactSynonym=AK 1 (human)] | gene_symbol_report?hgnc_id=361[label=AK1 (human)]
ak2human	PR_P54819[hasExactSynonym=AK 2 (human)] | gene_symbol_report?hgnc_id=362[label=AK2 (human)]
ak5human	PR_Q9Y6K8[hasExactSynonym=AK 5 (human)] | gene_symbol_report?hgnc_id=365[label=AK5 (human)]
akap18	PR_000004556[hasExactSynonym=AKAP 18] | PR_000035041[hasExactSynonym=AKAP-18]
aki	HP_0001919[hasExactSynonym=AKI] | MONDO_0002492[hasExactSynonym=AKI]
akirin2human	PR_Q53H80[label=akirin-2 (human)] | gene_symbol_report?hgnc_id=21407[label=AKIRIN2 (human)]
alawadifaragteebisyndrome	MONDO_0009420[hasExactSynonym=Al Awadi-Farag-Teebi syndrome] | Orphanet_2232[hasExactSynonym=Al Awadi-Farag-Teebi syndrome]
albanian	HANCESTRO_0344[label=Albanian] | HANCESTRO_0809[hasExactSynonym=Albanian]
albersschonbergosteopetrosis	MONDO_0008156[hasExactSynonym=Albers-Schonberg osteopetrosis] | MONDO_0008156[hasExactSynonym=Albers-Schönberg osteopetrosis] | Orphanet_53[label=Albers-Schönberg osteopetrosis]
albinism	HP_0001022[hasExactSynonym=Albinism] | HP_0001022[label=Albinism] | MONDO_0043209[hasExactSynonym=albinism] | MONDO_0043209[label=albinism]
albrighthereditaryosteodystrophy	MONDO_0007078[hasExactSynonym=Albright hereditary osteodystrophy] | Orphanet_665[label=Albright hereditary osteodystrophy]
albrighthereditaryosteodystrophywithmultiplehormoneresistance	MONDO_0007078[hasExactSynonym=Albright hereditary osteodystrophy with multiple hormone resistance] | MONDO_0012912[hasExactSynonym=Albright Hereditary osteodystrophy with multiple hormone resistance]
alcoholdehydrogenasenadpmeasurement	EFO_0008017[label=alcohol dehydrogenase [NADP+] measurement] | EFO_0021977[label=alcohol dehydrogenase [NADP(+)] measurement]
alcoholism	HP_0030955[hasExactSynonym=Alcoholism] | MONDO_0007079[hasExactSynonym=alcoholism]
ald	MONDO_0018544[hasExactSynonym=ALD] | Orphanet_43[hasExactSynonym=ALD]
alddsyndrome	MONDO_0009726[hasExactSynonym=ALDD syndrome] | Orphanet_324977[hasExactSynonym=ALDD syndrome]
alfisyndrome	MONDO_0008013[hasExactSynonym=Alfi syndrome] | Orphanet_261112[hasExactSynonym=Alfi syndrome]
alg13cdg	MONDO_0010472[hasExactSynonym=ALG13-CDG] | Orphanet_324422[label=ALG13-CDG]
alg2	PR_000003943[hasExactSynonym=ALG2] | PR_000012457[hasExactSynonym=ALG-2]
alg2human	PR_O75340[hasExactSynonym=ALG-2 (human)] | gene_symbol_report?hgnc_id=23159[label=ALG2 (human)]
algazaliazizsalemsyndrome	MONDO_0017315[hasExactSynonym=Al Gazali-Aziz-Salem syndrome] | Orphanet_2865[hasExactSynonym=Al Gazali-Aziz-Salem syndrome]
algazalidonnaimullersyndrome	MONDO_0009344[hasExactSynonym=Al Gazali-Donnai-Muller syndrome] | Orphanet_2153[hasExactSynonym=Al Gazali-Donnai-Muller syndrome]
algazalinairsyndrome	MONDO_0017196[hasExactSynonym=Al Gazali-Nair syndrome] | Orphanet_2773[hasExactSynonym=Al Gazali-Nair syndrome]
allergicasthma	MONDO_0004784[label=allergic asthma] | EFO_0010638[hasExactSynonym=allergic asthma]
allergy	HP_0012393[hasExactSynonym=Allergy] | HP_0012393[label=Allergy] | MONDO_0005271[hasExactSynonym=allergy]
allgrovesyndrome	MONDO_0009279[hasExactSynonym=Allgrove syndrome] | Orphanet_869[hasExactSynonym=Allgrove syndrome]
alltransretinoicacid	CHEBI_15367[label=all-trans-retinoic acid] | EFO_0803466[hasExactSynonym=all-trans-retinoic acid]
alopecia	HP_0001596[label=Alopecia] | MONDO_0004907[hasExactSynonym=alopecia] | MONDO_0004907[label=alopecia]
alopeciacontracturesdwarfismintellectualdisabilitysyndrome	MONDO_0008754[label=alopecia - contractures - dwarfism - intellectual disability syndrome] | Orphanet_1005[label=Alopecia-contractures-dwarfism-intellectual disability syndrome]
alopeciaintellectualdisabilitysyndrome	MONDO_0008756[hasExactSynonym=alopecia-intellectual disability syndrome] | MONDO_0008756[label=alopecia - intellectual disability syndrome] | Orphanet_2850[label=Alopecia-intellectual disability syndrome]
alpersdiseaseorgraymatterdegeneration	MONDO_0008758[hasExactSynonym=Alpers' disease or gray-matter degeneration] | Orphanet_726[hasExactSynonym=Alpers' disease or gray-matter degeneration]
alpershuttenlochersyndrome	MONDO_0008758[hasExactSynonym=Alpers Huttenlocher syndrome] | MONDO_0008758[hasExactSynonym=Alpers-Huttenlocher syndrome] | Orphanet_726[hasExactSynonym=ALPERS-HUTTENLOCHER SYNDROME] | Orphanet_726[hasExactSynonym=Alpers-Huttenlocher syndrome]
alpersprogressiveinfantilepoliodystrophy	MONDO_0008758[hasExactSynonym=Alpers progressive infantile poliodystrophy] | Orphanet_726[hasExactSynonym=ALPERS PROGRESSIVE INFANTILE POLIODYSTROPHY]
alpersprogressivesclerosingpoliodystrophy	MONDO_0008758[hasExactSynonym=Alpers progressive sclerosing poliodystrophy] | Orphanet_726[hasExactSynonym=Alpers progressive sclerosing poliodystrophy]
alperssyndrome	MONDO_0008758[hasExactSynonym=Alper's syndrome] | MONDO_0008758[hasExactSynonym=Alpers syndrome] | Orphanet_726[hasExactSynonym=Alper's syndrome] | Orphanet_726[label=Alpers syndrome]
alpha13fucosyltransferase5measurement	EFO_0020136[label=alpha-(1,3)-fucosyltransferase 5 measurement] | EFO_0021979[label=alpha-(1;3)-fucosyltransferase 5 measurement]
alpha14glucosidaseaciddeficiency	MONDO_0009290[hasExactSynonym=Alpha-1,4-glucosidase acid deficiency] | Orphanet_365[hasExactSynonym=Alpha-1,4-glucosidase acid deficiency]
alpha1antitrypsindeficiency	MONDO_0013282[hasExactSynonym=Alpha-1 Antitrypsin Deficiency] | MONDO_0013282[hasExactSynonym=alpha 1-antitrypsin deficiency] | MONDO_0013282[label=alpha 1-antitrypsin deficiency] | Orphanet_60[label=Alpha-1-antitrypsin deficiency]
alphabcrystalinrelatedfatalinfantilehypertonicmyofibrillarmyopathy	MONDO_0013472[hasExactSynonym=alpha-B crystalin-related fatal infantile hypertonic myofibrillar myopathy] | MONDO_0014922[hasExactSynonym=alpha-b crystalin-related fatal infantile hypertonic myofibrillar myopathy]
alphaketoglutaricacid	NCIT_C83527[label=Alpha-Ketoglutaric Acid] | EFO_0010457[hasExactSynonym=alpha ketoglutaric acid]
alphamethylacylcoaracemasedeficiency	MONDO_0008967[hasExactSynonym=Alpha-methyl-acyl-CoA racemase deficiency] | EFO_1001980[hasExactSynonym=alpha-methylacyl-CoA racemase deficiency] | EFO_1001980[label=Alpha-methylacyl-CoA racemase deficiency] | Orphanet_79095[hasExactSynonym=Alpha-methyl-acyl-CoA racemase deficiency]
alphasarcoglycanopathy	MONDO_0011968[hasExactSynonym=Alpha-sarcoglycanopathy] | MONDO_0016141[hasExactSynonym=alpha-sarcoglycanopathy]
alphathalassaemia	MONDO_0011399[hasExactSynonym=alpha thalassaemia] | Orphanet_846[hasExactSynonym=Alpha thalassaemia]
alphathalassemia	MONDO_0011399[hasExactSynonym=alpha-thalassemia] | Orphanet_846[hasExactSynonym=alpha thalassemia] | Orphanet_846[hasExactSynonym=alpha-Thalassemia] | Orphanet_846[label=Alpha-thalassemia]
alphathalassemiaintellectualdisabilitysyndromedeletiontype	MONDO_0007716[hasExactSynonym=Alpha thalassemia-intellectual disability syndrome, deletion type] | MONDO_0007716[hasExactSynonym=alpha thalassemia-intellectual disability syndrome, deletion type] | MONDO_0007716[hasExactSynonym=alpha-thalassemia/intellectual disability syndrome, deletion-type] | Orphanet_98791[hasExactSynonym=Alpha thalassemia - intellectual disability syndrome, deletion type]
alphathalassemiaintellectualdisabilitysyndromelinkedtochromosome16	MONDO_0007716[hasExactSynonym=alpha-thalassemia-intellectual disability syndrome linked to chromosome 16] | Orphanet_98791[label=Alpha-thalassemia - intellectual disability syndrome linked to chromosome 16]
alphathalassemiamyelodysplasticsyndrome	MONDO_0010328[label=alpha-thalassemia-myelodysplastic syndrome] | Orphanet_231401[label=Alpha-thalassemia - myelodysplastic syndrome]
alphathalassemiaretardationsyndrome	MONDO_0007716[hasExactSynonym=alpha thalassemia-retardation syndrome] | Orphanet_98791[hasExactSynonym=Alpha thalassemia - retardation syndrome]
alphathalassemiaxlinkedintellectualdisabilitysyndrome	MONDO_0010519[hasExactSynonym=Alpha Thalassemia X-linked Intellectual Disability Syndrome] | MONDO_0010519[hasExactSynonym=Alpha thalassemia X-linked intellectual disability syndrome] | MONDO_0010519[hasExactSynonym=alpha thalassemia-X-linked intellectual disability syndrome] | MONDO_0010519[label=alpha thalassemia-X-linked intellectual disability syndrome] | Orphanet_847[label=Alpha-thalassemia - X-linked intellectual disability syndrome]
alpstype4	MONDO_0013767[hasExactSynonym=ALPS type 4] | Orphanet_268114[hasExactSynonym=ALPS type 4]
alpstypeiv	MONDO_0013767[hasExactSynonym=ALPS type IV] | Orphanet_268114[hasExactSynonym=ALPS type IV]
alpswithrecurrentviralinfections	MONDO_0011804[hasExactSynonym=ALPS with recurrent viral infections] | Orphanet_275517[hasExactSynonym=ALPS with recurrent viral infections]
alsp	MONDO_0800027[hasExactSynonym=ALSP] | Orphanet_313808[hasExactSynonym=ALSP]
alt	EFO_0000736[hasExactSynonym=ALT] | EFO_1000099[hasExactSynonym=ALT]
alveolarbone	BTO_0001383[label=alveolar bone] | UBERON_0004103[hasExactSynonym=alveolar bone]
alveolarcapillarydysplasiawithmisalignmentofpulmonaryveins	MONDO_0009934[hasExactSynonym=alveolar capillary dysplasia with misalignment of pulmonary veins] | MONDO_0009934[label=alveolar capillary dysplasia with misalignment of pulmonary veins] | Orphanet_210122[hasExactSynonym=Alveolar capillary dysplasia with misalignment of pulmonary veins]
alveolarcapillarydysplasiawithmisalignmentofpulmonaryvessels	MONDO_0009934[hasExactSynonym=alveolar capillary dysplasia with misalignment of pulmonary vessels] | Orphanet_210122[hasExactSynonym=Alveolar capillary dysplasia with misalignment of pulmonary vessels]
alx1relatedfrontonasaldysplasia	MONDO_0013271[hasExactSynonym=ALX1-related frontonasal dysplasia] | Orphanet_306542[hasExactSynonym=ALX1-related frontonasal dysplasia]
alymphoidcysticthymicdysgenesis	MONDO_0011132[hasExactSynonym=alymphoid cystic thymic dysgenesis] | Orphanet_169095[label=Alymphoid cystic thymic dysgenesis]
amacrdeficiency	EFO_1001980[hasExactSynonym=AMACR deficiency] | Orphanet_79095[hasExactSynonym=AMACR deficiency]
ambidexterity	EFO_0003889[hasExactSynonym=Ambidexterity] | EFO_0009902[hasExactSynonym=Ambidexterity]
amblyopia	HP_0000646[label=Amblyopia] | MONDO_0001020[hasExactSynonym=amblyopia] | MONDO_0001020[label=amblyopia]
ambrassyndrome	MONDO_0007787[hasExactSynonym=Ambras syndrome] | Orphanet_1023[hasExactSynonym=Ambras syndrome]
amelocerebrohypohidroticsyndrome	MONDO_0009185[hasExactSynonym=amelocerebrohypohidrotic syndrome] | MONDO_0009185[label=amelocerebrohypohidrotic syndrome] | Orphanet_1946[label=Amelo-cerebro-hypohidrotic syndrome]
amelogenesisimperfectatype1	MONDO_0015047[label=amelogenesis imperfecta type 1] | Orphanet_100031[hasExactSynonym=Amelogenesis imperfecta type 1]
amelogenesisimperfectatype2	MONDO_0015048[label=amelogenesis imperfecta type 2] | Orphanet_100033[hasExactSynonym=Amelogenesis imperfecta type 2]
ameloonychohypohidroticsyndrome	MONDO_0007095[hasExactSynonym=ameloonychohypohidrotic syndrome] | MONDO_0007095[label=ameloonychohypohidrotic syndrome] | Orphanet_1028[label=Amelo-onycho-hypohidrotic syndrome]
ami	HANCESTRO_0730[hasExactSynonym=Ami] | EFO_0008583[hasExactSynonym=AMI]
amigo1human	PR_Q86WK6[hasExactSynonym=AMIGO-1 (human)] | gene_symbol_report?hgnc_id=20824[label=AMIGO1 (human)]
amigo2human	PR_Q86SJ2[hasExactSynonym=AMIGO-2 (human)] | gene_symbol_report?hgnc_id=24073[label=AMIGO2 (human)]
amishnemalinemyopathy	MONDO_0011539[hasExactSynonym=Amish nemaline myopathy] | Orphanet_98902[label=Amish nemaline myopathy]
amlm5	HP_0004845[hasExactSynonym=AML-M5] | EFO_0000221[hasExactSynonym=AML M5]
ammecomplex	MONDO_0010263[hasExactSynonym=AMME complex] | Orphanet_86818[hasExactSynonym=AMME complex]
ammesyndrome	MONDO_0010263[hasExactSynonym=AMME syndrome] | Orphanet_86818[hasExactSynonym=AMME syndrome]
ammonhorn	MA_0000191[hasExactSynonym=ammon horn] | UBERON_0001954[hasExactSynonym=ammon horn]
ammonshorn	MA_0000191[hasExactSynonym=Ammon's horn] | UBERON_0001954[hasExactSynonym=Ammon's horn] | UBERON_0001954[label=Ammon's horn]
amn	MONDO_0015339[hasExactSynonym=AMN] | PR_000003996[hasExactSynonym=AMN]
amnesia	MONDO_0001152[hasExactSynonym=amnesia] | EFO_1001454[label=amnesia]
amnesticsyndrome	MONDO_0001152[hasExactSynonym=amnestic syndrome] | EFO_1001454[hasExactSynonym=Amnestic syndrome]
amnioticbands	MONDO_0015167[hasExactSynonym=amniotic bands] | Orphanet_1034[label=Amniotic bands]
amnioticdeformityadhesionmutilationsyndrome	MONDO_0015167[hasExactSynonym=amniotic deformity-adhesion-mutilation syndrome] | Orphanet_1034[hasExactSynonym=Amniotic deformity - adhesion - mutilation syndrome]
amol	HP_0004845[hasExactSynonym=AMoL] | UO_0000044[hasExactSynonym=amol]
ampullaofvatercancer	MONDO_0000919[label=ampulla of vater cancer] | EFO_1000079[hasExactSynonym=ampulla of Vater cancer]
ams	MONDO_0008693[hasExactSynonym=AMS] | EFO_1000782[hasExactSynonym=AMS]
amy1	PR_000010808[hasExactSynonym=AMY-1] | PR_000037015[hasExactSynonym=AMY1]
amyloidosishereditarytransthyretinrelated	EFO_0004129[hasExactSynonym=amyloidosis, hereditary, transthyretin-related] | Orphanet_271861[hasExactSynonym=Amyloidosis, hereditary, transthyretin-related]
amyloidosisostertagtype	MONDO_0007099[hasExactSynonym=amyloidosis, Ostertag type] | Orphanet_85450[hasExactSynonym=Amyloidosis, Ostertag type]
amyloidosisprimarylocalizedcutaneous1	MONDO_0024522[hasExactSynonym=amyloidosis, primary localized cutaneous, 1] | MONDO_0024522[label=amyloidosis, primary localized cutaneous, 1] | EFO_1001882[hasExactSynonym=Amyloidosis, primary localized cutaneous, 1]
amyotrophiclateralsclerosis	HP_0007354[label=Amyotrophic lateral sclerosis] | MONDO_0004976[hasExactSynonym=amyotrophic lateral sclerosis] | MONDO_0004976[label=amyotrophic lateral sclerosis]
anaplasticlungcarcinoma	EFO_0003050[hasExactSynonym=anaplastic lung carcinoma] | EFO_1000016[label=anaplastic lung carcinoma]
anaplasticmalignantmeningioma	MONDO_0020635[hasExactSynonym=anaplastic (malignant) meningioma] | EFO_1000082[label=Anaplastic (Malignant) Meningioma]
andermannsyndrome	MONDO_0000902[hasExactSynonym=Andermann syndrome] | Orphanet_1496[hasExactSynonym=Andermann syndrome]
andersencardiodysrhythmicperiodicparalysis	MONDO_0008222[hasExactSynonym=Andersen cardiodysrhythmic periodic paralysis] | Orphanet_37553[hasExactSynonym=Andersen cardiodysrhythmic periodic paralysis]
andersensyndrome	MONDO_0008222[hasExactSynonym=Andersen syndrome] | Orphanet_37553[hasExactSynonym=Andersen syndrome]
andersentawilsyndrome	MONDO_0008222[hasExactSynonym=Andersen-Tawil syndrome] | MONDO_0008222[label=Andersen-Tawil syndrome] | Orphanet_37553[hasExactSynonym=Andersen-Tawil syndrome]
